id;code_pays_iso;code_postal;date_derniere_modification;libelle_commune;ligne_1;ligne_2;ligne_3;ligne_4;ligne_5;ligne_6;ligne_7;nombre_courriers_pnd;code_usage_adresse
84330a50-edf3-405d-b24c-5e28c37ea3ce;ugh baseboard;absolve;2025-04-11;diligently sharply offensively;glass from;supposing opposite massage;with best-seller;but supposing;reproach endow;majestically indeed below;hopelessly mid;except howl;furthermore nor esteemed
83456a00-3a8a-491b-b9f0-7eca9934ca3d;sleepily;into;2025-04-11;snarling impanel refer;vacantly;fedora um;backburn charlatan;headline wrong;huzzah duh plus;unlined;keenly;ack near;polyester
c13b0ffa-7a7b-4229-af36-25d4eeb7eba7;gadzooks;tattered youthful bar;2025-04-10;unbalance;as;gerbil blissfully of;boohoo excepting;coolly because when;an pfft briskly;huzzah;furthermore lest;uh-huh broadly across;opposite royal
a7a8de30-720e-48db-bd0c-4b2d740f1cfa;deflate instead;youthfully inasmuch;2025-04-11;encode;loftily come;pendant squirm;ravioli;generously whether;netsuke shameful;duh excepting;if though pfft;since leading gleefully;snack
35749105-1084-42fb-b714-4e4001f442ee;to management considerate;supposing hypothesise altruistic;2025-04-11;manage blight;whole onto loaf;innocently glossy;tank;happy-go-lucky toward after;how flood brook;roasted down;or own;graffiti finally inasmuch;ugh hence fooey
f0140665-f79f-4b5b-b903-319610fcba75;incidentally;across epic;2025-04-11;elegantly and;scratchy;whoa as except;including times unless;summary solidly;kit curry;valiantly;imaginary factorize via;although ample soft;carouse bobble
37b4f987-47d3-491c-a546-049e7c98aa01;waist hence;flood;2025-04-10;reproachfully;surprisingly pro elevation;gloomy aside;tomorrow nor;coin incandescence;gee whether very;yum phew;why petticoat tough;growing ugh since;downchange once
b7c58ff9-5bce-41b9-8c89-07b4945ce1e8;federate wisely yahoo;boohoo;2025-04-11;seriously gee;apud mash how;yesterday yet;anenst er yesterday;legislature urgently first;under;grouchy pasta;meh;regarding young gratefully;rawhide
25c6f2bf-24df-49de-ba0a-ece08e84af20;hm;censor goodwill pilot;2025-04-11;digital indeed;ack;lest councilman whine;beside vastly;acidic;comb newsstand;gadzooks bowler hastily;mortally quintuple supposing;unselfish;treble daintily
3cd98c05-fed4-48f4-ad65-783a29877be4;boastfully livid;enrage;2025-04-10;freckle;brightly usually;consign weakly;wherever blacken;defrag ew than;sore;shoot grouper misfire;indeed wherever;courageously ecstatic;up
